Feature,Units,Type,Count,Mean,Std,Min,Q25,Median,Q75,Max
Pure water flux,L/m2/h,Raw,1618,58.3827,41.8893,7.1300,24.3000,47.9020,79.1636,228.0000
Pressure (bar),bar,Raw,1618,7.7653,4.6224,1.0000,5.0000,6.8948,10.0000,35.0000
pH,-,Raw,1618,6.6046,1.6841,2.4000,6.0000,7.0000,7.0000,10.4667
Temperature (C),C,Raw,1618,23.4456,2.0614,20.0000,22.0000,25.0000,25.0000,25.0000
Filtration duration (h),h,Raw,1618,13.3121,23.5057,0.3333,0.5000,1.0000,24.0000,96.0000
TrOC concentration (mg/L),mg/L,Raw,1618,41.2141,246.9328,0.0001,0.1000,0.5000,10.0000,2000.0000
MW (Da),Da,Raw,1618,225.2967,87.3028,30.0260,163.3870,228.2910,270.3720,636.9050
MWCO (Da),Da,Raw,1618,193.8597,87.4177,65.0000,100.0000,180.0000,250.0000,460.0000
Min projection (nm),nm,Raw,1618,0.4036,0.0889,0.0000,0.3490,0.4100,0.4530,0.6540
Max projection (nm),nm,Raw,1618,0.5815,0.1545,0.0000,0.4890,0.5910,0.6900,1.0000
Molecular radius (nm),nm,Raw,1618,0.3071,0.0750,0.1274,0.2463,0.3153,0.3727,0.6300
Pore radius (nm),nm,Raw,1618,0.3953,0.0692,0.3000,0.3400,0.4032,0.4200,0.6900
pKa1,-,Raw,1618,8.0268,4.8121,-3.7000,4.1500,7.1500,12.5800,17.6000
Zeta potential (mV),mV,Raw,1618,-23.4855,12.9992,-75.1000,-32.7000,-25.0000,-15.0000,12.0224
log Kow,-,Raw,1618,1.5022,2.0377,-5.1040,0.4900,1.6300,2.7000,6.8600
Contact angle (deg),deg,Raw,1618,51.3699,14.9433,15.2000,40.6000,51.6000,63.2000,79.4000
Molecular charge,-,Raw,1618,-0.3342,0.6206,-1.9999,-0.9968,-0.0025,-0.0000,1.0000
Charge product,-,Raw,1618,8.6089,18.7194,-43.6549,0.0000,0.0338,20.0087,85.3936
log D,-,Raw,1618,0.5869,2.1190,-5.3900,-0.4527,0.8900,2.4000,5.7100
Steric Ratio (lambda),dimensionless,Physics Law,1618,0.7970,0.2283,0.1905,0.6277,0.7944,0.9393,1.8529
Ferry-Renkin Factor (Phi),dimensionless,Physics Law,1618,0.1551,0.1850,0.0000,0.0073,0.0828,0.2580,0.8812
Hydraulic Permeability (Lp),L/m2/h/bar,Physics Law,1618,7.8443,4.1555,0.7130,4.5000,7.6900,9.4479,17.3800
Donnan Index (Psi),mV/pH,Physics Law,1618,1.0973,2.8899,-17.7917,0.0000,0.0067,2.7446,11.9088
Hydrophobic Affinity (H),-,Physics Law,1618,0.3481,1.3668,-4.6537,-0.2516,0.4317,1.3473,4.5300
